@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
95,2,1,51,0,0,?
72,9,1,54,1,0,?
238,11,4,235,0,0,?
105,3,1,43,0,0,?
43,3,1,3,0,0,?
211,13,1,195,0,0,?
240,10,7,207,0,0,?
287,25,11,39,4,15,?
401,41,15,178,5,24,?
71,10,3,26,1,1,?
511,80,9,182,8,34,?
63,1,2,20,0,2,?
347,40,10,154,4,17,?
95,5,4,24,0,2,?
228,39,4,66,7,16,?
363,38,7,129,3,23,?
1028,192,18,321,7,66,?
194,23,7,76,3,12,?
560,62,7,153,6,36,?
41,1,1,6,0,0,?
42,1,1,6,0,0,?
41,1,1,6,0,0,?
63,7,1,12,0,2,?
63,7,1,12,0,2,?
42,1,1,6,0,0,?
80,8,1,24,0,2,?
28,0,1,0,0,0,?
21,1,1,0,0,0,?
427,71,8,144,7,32,?
169,5,12,21,0,0,?
310,32,10,146,3,15,?
850,111,20,289,10,52,?
167,8,10,36,0,14,?
398,56,10,176,6,19,?
271,45,8,119,3,17,?
96,10,4,15,0,2,?
310,29,9,147,3,18,?
15,0,1,0,0,0,?
76,0,8,0,0,0,?
38,0,3,0,0,0,?
143,16,8,9,0,3,?
287,24,13,63,2,21,?
27,0,2,0,0,0,?
691,65,20,191,0,47,?
93,9,2,16,2,3,?
235,10,19,0,0,2,?
17,0,1,0,0,0,?
66,5,3,10,0,3,?
85,8,4,24,0,5,?
163,11,6,24,0,7,?
79,16,3,28,2,1,?
246,28,11,47,3,10,?
25,2,2,5,0,0,?
38,2,4,0,0,1,?
258,15,18,44,0,5,?
43,0,5,0,0,0,?
361,18,30,58,1,9,?
272,11,21,31,1,12,?
730,43,57,85,7,16,?
77,1,8,4,0,0,?
1799,72,115,205,3,46,?
50,0,6,1,0,1,?
268,28,18,69,0,11,?
502,43,30,98,0,18,?
44,0,5,4,0,0,?
1659,83,108,339,0,58,?
417,39,30,33,0,19,?
300,15,18,51,0,10,?
99,7,13,10,0,0,?
128,14,5,36,0,0,?
759,44,70,87,1,11,?
44,0,2,11,0,1,?
459,36,24,89,6,11,?
301,22,4,50,2,5,?
29,0,0,0,0,0,?
779,74,39,133,4,26,?
22,1,1,2,0,2,?
218,20,14,9,3,11,?
79,5,9,7,0,3,?
53,4,6,5,0,0,?
1030,79,57,64,8,31,?
173,6,13,4,0,2,?
129,10,10,31,0,5,?
95,3,7,2,0,1,?
118,7,7,1,0,0,?
440,24,33,26,0,9,?
47,0,4,0,0,0,?
78,6,2,0,0,0,?
783,35,62,23,1,8,?
215,7,17,2,0,2,?
167,15,11,23,0,12,?
45,6,1,8,0,3,?
69,3,6,5,0,4,?
29,0,1,0,0,0,?
49,1,5,2,0,0,?
23,0,1,0,0,0,?
103,8,9,17,0,0,?
56,4,3,4,1,1,?
71,4,4,5,1,1,?
24,0,1,0,0,0,?
24,0,1,0,0,0,?
75,7,2,7,1,4,?
28,2,5,0,0,0,?
47,6,3,0,0,0,?
65,2,6,8,0,0,?
87,9,5,16,0,0,?
99,4,13,12,0,0,?
56,2,5,7,0,0,?
119,14,9,14,0,0,?
48,1,4,1,0,0,?
433,32,27,87,3,34,?
97,3,11,0,0,0,?
547,24,60,54,2,9,?
86,2,8,21,1,0,?
122,10,17,6,1,0,?
821,35,45,136,7,62,?
71,7,9,8,1,1,?
27,0,3,0,0,0,?
120,4,13,4,0,0,?
86,2,14,5,0,0,?
91,2,7,3,0,0,?
417,14,35,25,1,8,?
44,1,6,3,0,0,?
308,15,21,24,1,6,?
134,5,12,2,0,2,?
295,13,25,20,1,8,?
40,2,4,1,0,1,?
34,0,4,1,0,0,?
193,5,16,4,0,0,?
